"","X","PID","index","time_elapsed","block","reward_type","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","left_chosen","chosen_obj","unchosen_obj","explain_trial","explain_response","explain_rt"
"1",1,"1ae5n",0,290412,1,-1,24,22,58,57,"joel-mott-LaK153ghdig-unsplash.jpg","jessica-radanavong-mrYkTuAesKE-unsplash.jpg",1,24,22,1,"The models smile is beautiful and I love the palm trees",17.317
"2",2,"1ae5n",1,312505,1,-1,46,23,55,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",1,46,23,1,"The sunset and lighting is gorgeous",11.196
"3",3,"1ae5n",14,447978,2,1,2,49,47,46,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",1,2,49,1,"I think the background is really pretty",10.962
"4",4,"1ae5n",15,461853,2,1,45,39,56,44,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","philip-martin-5aGUyCW_PJw-unsplash.jpg",0,39,45,1,"The landscape and the mans black sweater are a gorgeous contrast",19.404
"5",5,"1ae5n",16,496891,2,1,8,3,61,53,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",1,8,3,1,"It looks like an authentic photo and the angle of the mans face works really well ",23.211
"6",6,"1ae5n",16,492814,2,1,8,3,61,53,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",NA,NA,NA,1,"It looks like an authentic photo and the angle of the mans face works really well ",23.211
"7",7,"1ae5n",18,527464,2,1,40,33,45,56,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",1,40,33,1,"The mans smile",7.087
"8",8,"1ae5n",19,537620,2,1,26,37,59,60,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",0,37,26,1,"I think the black contrasting with the white background is really nice",16.672
"9",9,"1ae5n",22,563869,2,1,7,48,55,57,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",1,7,48,1,"I love the stripes on her shirt with the palms in the background",16.952
"10",10,"1ae5n",5,343379,1,-1,41,27,57,47,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",1,41,27,1,"Her smile looks very authentic ",14.968
"11",11,"1ae5n",6,365556,1,-1,1,13,60,60,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",1,1,13,1,"It resembles a classic painting",14.073
"12",12,"1ae5n",7,383671,1,-1,16,36,54,61,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",0,36,16,1,"Her features and clothing are very unique and striking",19.873
"13",13,"1ae5n",8,408955,1,-1,17,15,56,56,"gleb-lukomets-paBzWCPN23k-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",1,17,15,1,"I like the lighting on her face and the shadows ",13.496
"14",14,"1K9vK",0,374076,1,1,49,8,64,43,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",0,8,49,1,"There is more going on and feels like more emotion in this photograph ",29.419
"15",15,"1K9vK",10,518487,1,-1,3,2,36,77,"art-hauntington-jzY0KRJopEI-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",0,2,3,1,"I really like the background of this photo It makes me feel happy and hopeful I thin others would agree with that",20.872
"16",16,"1K9vK",11,542873,1,1,21,36,32,40,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",0,36,21,1,"I really enjoy how the photo shows a different cultural stuff like clothes and such ",31.514
"17",17,"1K9vK",12,582534,2,1,40,13,62,67,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",1,40,13,1,"I like the fact the guy is holding a camera It opens the thoughts about doing my own hobbies and how enjoyable they make me feel ",24.898
"18",18,"1K9vK",14,613749,2,-1,24,41,79,71,"joel-mott-LaK153ghdig-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",1,24,41,1,"Her smile with the background gives off a really happy feeling and that she is in such a really nice and fun place to be ",22.966
"19",19,"1K9vK",17,645269,2,1,14,30,64,32,"freddy-kearney-o-ioeoATbIM-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",1,14,30,1,"This gentleman gives off a feeling of being super friendly and wanting to help you out with learning something new I feel connected to that photograph ",36.46
"20",20,"1K9vK",20,690134,2,-1,25,4,72,41,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","barna-bartis-2x3vfVxwR7o-unsplash.jpg",1,25,4,1,"His smile is captivating I am drawn in to his smile and the background makes me more interested ",29.687
"21",21,"1K9vK",22,727062,2,1,26,35,38,69,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",1,26,35,1,"The trees the man is touching makes the photo feel very connected to me I like that background and would like to know more about it",35.413
"22",22,"1K9vK",23,765282,2,-1,39,47,36,34,"philip-martin-5aGUyCW_PJw-unsplash.jpg","tyler-nix-ZGa9d1a_4tA-unsplash.jpg",1,39,47,1,"his facial expression leaves the viewer wondering what is on his mind Also wondering where he is exactly from the background looks very interesting ",27.852
"23",23,"1K9vK",7,431058,1,1,45,11,67,77,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","christian-ferrer-8vT-DgHZDG4-unsplash.jpg",0,11,45,1,"The colors and feeling given off by this photo I think other people will be able to relate to it more ",23.78
"24",24,"1K9vK",8,458594,1,-1,34,42,37,38,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,42,34,1,"Her face and background give a lot of interpretation for anyone who is looking to purchase a photo ",33.382
"25",25,"1K9vK",9,494857,1,-1,27,16,74,41,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","giano-currie-5-9YOsmf8IQ-unsplash.jpg",0,16,27,1,"The colors and her face are very nice I enjoy the colors in the background ",20.383
"26",26,"1pow4",0,231927,1,-1,8,12,67,64,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",0,12,8,1,"Looked more professional",12.287
"27",27,"1pow4",1,247471,1,1,26,19,74,66,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",1,26,19,1,"Liked the interaction with the plant",11.98
"28",28,"1pow4",10,330431,1,1,1,33,73,60,"aiony-haust-jmATI5Q_YgY-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",1,1,33,1,"Looks like a painting",13.786
"29",29,"1pow4",13,355583,2,-1,45,48,65,77,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",0,48,45,1,"More photogenic ",6.631
"30",30,"1pow4",14,364984,2,-1,21,28,69,66,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",0,28,21,1,"Better smile",7.287
